"company_id","period","field_path","purpose","source_id","published_at","source_title","source_url","local_path","evidence_tier","verification_status"
"MSFT","FY2026-Q3","price_post_event","evaluation","MSFT_YAHOO_POST","2026-04-30","MSFT post-event close","https://query1.finance.yahoo.com/v8/finance/chart/MSFT","02_sector_db/company_db/raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json","market_data","verified"
"MSFT","FY2026-Q3","ground_truth.gt_analyst_rating","evaluation","MSFT_STOCKANALYSIS_POST","2026-07-17","Microsoft analyst forecast snapshot","https://stockanalysis.com/stocks/msft/statistics/","02_sector_db/company_db/processed/MSFT_stockanalysis_statistics_2026-07-17.txt","secondary_snapshot","verified"
"MSFT","FY2026-Q3","ground_truth.gt_analyst_target","evaluation","MSFT_STOCKANALYSIS_POST","2026-07-17","Microsoft analyst forecast snapshot","https://stockanalysis.com/stocks/msft/statistics/","02_sector_db/company_db/processed/MSFT_stockanalysis_statistics_2026-07-17.txt","secondary_snapshot","verified"
"MSFT","FY2026-Q3","ground_truth.gt_realized_direction","evaluation","MSFT_YAHOO_POST","2026-04-30","MSFT post-event close","https://query1.finance.yahoo.com/v8/finance/chart/MSFT","02_sector_db/company_db/raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json","market_data","verified"
"AMZN","FY2026-Q1","event.event_type","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","event.report_date","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","event.information_cutoff","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","raw_financials.revenue","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","raw_financials.cogs","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","raw_financials.opex","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
